MeshA	MeshB	FacesA	FacesB	Pairs	Time_ms	Mpairs_s	Intersected
Allen_amygdalohippocampal_area_L.off	Allen_lateral_hemisphere_of_cerebellum_L.off	106	11930	1264580	0.321465	3933.8	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_hemisphere_of_cerebellum_R.off	106	11934	1265004	0.353286	3580.68	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_nucleus_L.off	106	498	52788	0.032879	1605.52	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_nucleus_R.off	106	498	52788	0.031241	1689.7	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_L.off	106	1908	202248	0.073038	2769.08	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_R.off	106	1908	202248	0.069828	2896.37	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_olfactory_gyrus_L.off	106	130	13780	0.024741	556.97	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_olfactory_gyrus_R.off	106	130	13780	0.022782	604.863	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_orbital_gyrus_L.off	106	2986	316516	0.098849	3202.02	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_orbital_gyrus_R.off	106	2986	316516	0.101334	3123.49	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_posterior_nucleus_of_thalamus_L.off	106	380	40280	0.030463	1322.26	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lateral_posterior_nucleus_of_thalamus_R.off	106	380	40280	0.032178	1251.79	0	0
Allen_amygdalohippocampal_area_L.off	Allen_limen_insula_L.off	106	64	6784	0.034814	194.864	0	0
Allen_amygdalohippocampal_area_L.off	Allen_limen_insula_R.off	106	64	6784	0.023025	294.636	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lingual_gyrus_medial_occipitotemporal_gyrus_L.off	106	7406	785036	0.220148	3565.95	0	0
Allen_amygdalohippocampal_area_L.off	Allen_lingual_gyrus_medial_occipitotemporal_gyrus_R.off	106	7406	785036	0.224079	3503.39	0	0
Allen_amygdalohippocampal_area_L.off	Allen_long_insular_gyri_L.off	106	1218	129108	0.051339	2514.81	0	0
Allen_amygdalohippocampal_area_L.off	Allen_long_insular_gyri_R.off	106	1218	129108	0.054186	2382.68	0	0
Allen_amygdalohippocampal_area_L.off	Allen_mammillary_region_of_HTH_L.off	106	462	48972	0.031847	1537.73	0	0
Allen_amygdalohippocampal_area_L.off	Allen_mammillary_region_of_HTH_R.off	106	462	48972	0.031394	1559.92	0	0
Allen_amygdalohippocampal_area_L.off	Allen_mammillothalamic_tract_L.off	106	124	13144	0.022009	597.21	0	0
Allen_amygdalohippocampal_area_L.off	Allen_mammillothalamic_tract_R.off	106	124	13144	0.026565	494.786	0	0
Allen_amygdalohippocampal_area_L.off	Allen_medial_geniculate_nuclei_L.off	106	120	12720	0.0217	586.175	0	0
Allen_amygdalohippocampal_area_L.off	Allen_medial_geniculate_nuclei_R.off	106	120	12720	0.022644	561.738	0	0
Allen_amygdalohippocampal_area_L.off	Allen_medial_nucleus_L.off	106	86	9116	0.022437	406.293	0	0
Allen_amygdalohippocampal_area_L.off	Allen_medial_nucleus_R.off	106	86	9116	0.021477	424.454	0	0
Allen_amygdalohippocampal_area_L.off	Allen_medial_orbital_gyrus_L.off	106	2406	255036	0.098744	2582.8	0	0
Allen_amygdalohippocampal_area_L.off	Allen_medial_orbital_gyrus_R.off	106	2406	255036	0.085271	2990.89	0	0
